delta_e[deg]  T_arkkio[mNm]
     0.0      310.09
    15.0       73.71
    30.0     -166.89
    45.0     -395.33
    60.0     -595.81
    75.0     -754.87
    90.0     -862.00
   105.0     -910.69
   120.0     -898.22
   135.0     -825.80
   150.0     -698.61
   165.0     -525.19
   180.0     -316.63
   195.0      -85.95
   210.0      152.36
   225.0      382.55
   240.0      588.68
   255.0      755.26
   270.0      869.94
   285.0      924.05
   300.0      913.51
   315.0      839.35
   330.0      706.98
   345.0      526.21
